scenario,strategy,annual_flow_kinzhal,annual_flow_cruise,annual_flow_shahed,capital_cost,total_cost,lives_saved,cost_per_life,pk_kinzhal,pk_cruise,pk_shahed
94,passive,130.57926079025066,2152.5110728032278,8311.639026164297,709885559.9122765,1148409409.8081598,386355.65053651005,2972.415204005504,0.7692504999459022,0.8466487816751996,0.7836077889505038
95,passive,100.08417904777096,1242.206763796296,7877.975335559747,1163726953.4483337,1882606238.6063998,119902.62297332507,15701.126396753025,0.7016619999146081,0.6846820903377115,0.9292574032834172
96,passive,450.39120322997934,1798.1982103202884,8198.029999798193,578617388.8864926,936051797.0783759,229707.73880920306,4074.9684879178903,0.3837150396334215,0.9537736321468905,0.8775853641836391
97,passive,459.18413939673155,1694.736452841701,6208.443986278302,826536698.8454713,1337120482.6637259,761231.6026459546,1756.5225589899933,0.4117980408111237,0.7903501568915865,0.8973087073559559
98,passive,266.84411217243894,2982.072670655402,9112.833728450707,965067599.914989,1561227295.538039,348667.316097479,4477.699008362336,0.4814104214465635,0.716866632769596,0.8918081422552078
99,passive,215.8510784678215,2172.17813584493,6721.525133557974,529128801.4065669,855992189.2352693,415581.5420855784,2059.745447161846,0.39797561336744125,0.8063501295273312,0.9680792703580505
100,passive,88.89378360336364,564.1802626008285,7571.166982561183,597926183.728485,967288383.5661185,174601.3082195392,5539.983597086654,0.5120060153351008,0.9321323829121567,0.8580477475947199
101,passive,112.26202008011406,1801.7602090439343,14275.132431567377,944575838.1407291,1528076977.5515518,286455.2333579065,5334.435540377517,0.46964915681528097,0.9219059732461709,0.9380038749676292
102,passive,211.99927171554452,2504.2723463271986,8326.467445665898,628407192.085062,1016598693.2749958,725176.6945117894,1401.8634368268004,0.44720074211592936,0.9638862383854927,0.9963346334601821
103,passive,172.3909163544963,2387.956629506707,7077.435081938739,596775516.319594,965426904.2593789,204056.8102691613,4731.16728123865,0.43143697857874774,0.9569953231730302,0.9489227945322699
104,passive,185.97748353816948,3792.405423652491,15489.07886510244,1761175585.5952187,2849122068.452668,723576.9712434325,3937.552163326298,0.6191757001191673,0.9407039473474351,0.9526327151223934
105,passive,126.13570805912025,2053.2372136094014,12255.236533766021,842237737.9648447,1362520662.7585044,279815.3909732357,4869.355677754084,0.4033598722275912,0.8235547189766342,0.9637071310464609
106,passive,184.83073135532214,2055.1283712246654,7141.712895692382,1021157256.7069993,1651965709.2913976,198586.7691611493,8318.609121189033,0.3106339930355445,0.9212688059761085,0.953796988236661
107,passive,295.42183291190094,1229.0704516339042,9971.094900563552,452921591.12066394,732708828.7477353,245203.79207915033,2988.1627136958027,0.5764142074009471,0.8963070287156971,0.8217020712502946
108,passive,221.13980537233343,1063.9749660292073,10102.559822911337,975078051.6600062,1577421591.6747694,365975.2359312742,4310.186692443284,0.43771625681869786,0.9328996449364546,0.9254576723921056
109,passive,218.95975298532178,1913.8767215402565,10586.570836332856,671736792.0471144,1086694668.0766149,459897.3569454718,2362.9069653589245,0.7584298720642847,0.7516693096800229,0.8295139901422123
110,passive,132.58550975692327,1127.4323037734644,7637.206038332512,872514956.5048087,1411501293.7751565,1056214.049471359,1336.3780707912574,0.3117721160984023,0.751747268881505,0.9710713787613602
111,passive,138.0482187942239,1934.6836202324623,9358.787223778181,476604125.9889679,771020984.1523769,242434.62470157284,3180.325356171679,0.4571542014265805,0.8810084816943485,0.8093956544897835
112,passive,138.9694830773723,2007.0284910009862,8794.738933380098,1660340454.6911826,2685997165.3573823,175730.20413420058,15284.778041378455,0.5844821175562749,0.5447885155881514,0.7782162153900964
113,passive,335.9674432666868,2071.857948095445,9140.162459291578,1042425702.9366248,1686372499.8522859,372960.11343934305,4521.58941153516,0.5471868926481016,0.6723963937632871,0.9289066919947991
114,passive,49.643571906203974,3524.1710851120247,6831.071840127138,755676042.3485223,1222486449.6565804,191558.40951271783,6381.794737001185,0.6287383692131545,0.5463835600869408,0.9368719393336417
115,passive,162.4168872853328,2543.6933999119706,9377.800973090889,979116656.0755529,1583954998.7127714,414330.2581895687,3822.928611668192,0.2982163875559346,0.7395714672993835,0.950550649798657
116,passive,109.62209119605116,1246.4492842916172,9407.571884556359,1534616733.4594517,2482609024.1526794,264625.4423554777,9381.596123390627,0.5037498605810691,0.8387655799081174,0.8985460963198623
117,passive,113.7158784989019,2151.678161908164,8071.064197496746,765374968.7123237,1238176779.0986981,173212.50976071428,7148.310366319308,0.708176753830447,0.6762652916582945,0.8929135848100247
118,passive,417.9486080336953,1647.6166518511695,14215.425218010047,815585305.9282278,1319403989.489498,514952.59316111443,2562.185348733049,0.29684691833493143,0.9573257291419288,0.9637086094563103
119,passive,117.6167923710435,2203.2863291913486,8674.137848597717,537569922.9998294,869647719.1043873,255833.92078690388,3399.266666552626,0.5786044619975748,0.8967421877165478,0.8167749440605816
120,passive,134.60995532396217,2277.7708624608285,7018.95446749454,876750196.3521655,1418352805.579538,354727.8515617927,3998.425269780274,0.5469490800662126,0.9324388111299861,0.9032665464196941
121,passive,169.41164568903255,3173.6350144202356,9022.053080637976,918205506.6289039,1485416669.2454033,630997.649510252,2354.0763906146203,0.6526390676647155,0.8816331433208666,0.9755532597106641
122,passive,112.40047741907546,2537.6966344318903,11319.230651931322,1137816082.9755871,1840689218.247654,271646.19605428464,6776.053723497819,0.5366243587888242,0.7403529707716974,0.9429578748480048
123,passive,415.40970115027795,1744.5291374085978,5693.042472825347,637417703.8274266,1031175347.677428,434719.244246099,2372.0489978899327,0.5816171665681582,0.9212487262944171,0.9393750397625492
124,passive,264.6724591147621,1642.4897138196418,9356.708198380578,619487999.6304064,1002169769.6269612,244322.17768134075,4101.837087151579,0.4687145338045853,0.9401798289162133,0.9544575060095525
125,passive,287.69404101742236,1016.8675263102544,8124.429393594747,724425991.1747662,1171932029.5478477,339779.3538984523,3449.097233547909,0.3458350855606848,0.7439113323823515,0.9511737980051058
126,passive,359.31212044674686,1124.2946518310737,9672.507873680754,394936633.78790057,638904313.7826767,359237.71964293637,1778.500081833596,0.34061252382285667,0.8052308620625477,0.9050235551000717
127,passive,92.35105821011761,1903.9120730576833,14451.430448950938,790957180.0758932,1279562114.8664167,386468.2054970568,3310.9117300366415,0.18977672779775756,0.6078688099628026,0.9538133153843804
128,passive,261.4567624181355,815.2803499648726,8616.909328195561,754282231.5983735,1220231627.9341037,254654.69308942812,4791.710740259517,0.4872387671173995,0.7551569927660524,0.7762759927075656
129,passive,167.7895619899808,2647.9381829960166,12235.348017980994,855254755.1613914,1383578796.463881,372348.39994246676,3715.817757448841,0.6709458023223335,0.8843140557461691,0.8832145117190171
130,passive,249.94842698491317,3042.8877521932654,8293.714211389013,776609622.2363225,1256351513.9453812,370146.21766636905,3394.2033012418688,0.6057306745089146,0.6795958956013025,0.9773168322996995
131,passive,332.1503714492917,519.0188815830239,7408.292441703642,667145783.5907259,1079267615.5915961,254202.61375141927,4245.698341430096,0.24068425388125403,0.9422786503281304,0.9738050206539086
132,passive,188.04818292229692,1105.334343646522,6330.560327923991,1289233256.215312,2085642653.5260677,387408.8928479186,5383.569381162369,0.43262090932321484,0.8362695508658808,0.8323257095122361
133,passive,175.08997513716514,1596.7651249596427,11754.525075034497,785042307.3342004,1269993395.768627,263844.55875468155,4813.4151477781525,0.34519531160905703,0.731804211830795,0.8865169653338107
134,passive,237.45029404332567,976.1406592647826,6627.248764893105,345610881.64354956,559108130.979018,412102.85611018486,1356.7198642018825,0.6194270492235365,0.8573676677603543,0.9098591669605736
135,passive,132.11525707328596,1875.4073959021048,11798.965877388533,944249051.1550224,1527548321.5672905,260711.3475106982,5859.155484226126,0.2799876216805335,0.8398081660935445,0.9021467450854495
136,passive,284.23375090238096,2509.3966745969874,10028.452009938721,1016929414.9568598,1645126165.6758885,355324.4047696939,4629.927310346693,0.6642628361138756,0.8041527857034229,0.9885641185857671
137,passive,324.6711767643267,2873.121585080689,5627.961783600585,1039730930.234046,1682013061.50941,431579.83840362105,3897.3392912213885,0.31537620639218084,0.9392081379881576,0.9398370643912326
138,passive,248.78370846695069,2923.4481968652512,8548.496923543637,991757063.5506663,1604403876.2614617,490729.2652341604,3269.4277474890177,0.48222599853203607,0.933223634997609,0.8713351744078414
139,passive,181.81409394051852,1198.2499245736378,19685.68722072765,462101553.1719287,747559609.4885874,641941.0034289991,1164.5300821966734,0.5943819394633374,0.8529964224852588,0.8670859543093655
140,passive,235.78067643456535,2630.9622653444185,11372.33095235411,399031020.1864343,645527961.4985814,509288.951048455,1267.5082782959576,0.2236464801259706,0.95275607813643,0.5543135606669433
141,passive,97.10006238109898,3674.176634263266,19455.894990546254,683374211.6218904,1105520973.1886811,421657.51701316494,2621.845760084397,0.5305091299508078,0.7730921624953,0.9142104102183157
142,passive,234.33391628445696,2494.5568205557893,9931.168833989335,480462163.36141264,777262280.8797741,818171.0280606993,949.9997607127561,0.4726339839777658,0.795692320334898,0.8334676260559234
143,passive,22.982100829359798,2215.3097099221673,12014.115790624068,1056025286.0792463,1708373073.0888863,284856.77147276007,5997.305467784017,0.5449860504340311,0.9033945922911141,0.8849897683749628
144,passive,71.71571120579426,1015.2584644572305,9958.359501998357,576141565.3463656,932046561.2895851,167924.66877730665,5550.384991532238,0.3288533998244734,0.7186487683862718,0.9337600480867353
145,passive,72.08312889149472,1888.8597038386922,11511.056596746761,519161166.2320926,839867159.1257464,372119.5273685582,2256.982225751128,0.27454827075255916,0.8563445919039417,0.9013331419324269
146,passive,109.94388601761973,990.7791100640633,9776.025143337485,1046289569.6158037,1692623226.8753314,228037.1038903918,7422.57815942491,0.35312307168143936,0.8826269108961919,0.8254281287850408
147,passive,133.4784089798865,1776.7843563346973,8670.805296299668,1020055607.2135754,1650183528.1681263,359931.04570016154,4584.721290040654,0.7644798102149022,0.9065579863513188,0.771778816317239
148,passive,203.6296447324128,622.6487234464671,9161.767811193253,435308932.1511612,704216147.0613823,278432.18550292315,2529.219622326992,0.4921641201447764,0.867610785960009,0.9487656478270765
149,passive,93.15816155687747,2125.936135775251,17496.644883661556,755134194.7470585,1221609881.771075,536678.0388485085,2276.2434706516965,0.5046805279059018,0.8608417267370209,0.9270821815665987
150,passive,187.93701536244234,1338.7237626749602,11265.694171274412,594404902.7043608,961591870.6476378,528405.8411885753,1819.7979577301246,0.6431338078452066,0.7242039210222501,0.9489220196315343
151,passive,418.4658816421627,1659.6908429063346,7231.735023670973,647292784.7612565,1047150649.2012805,311735.70647569385,3359.0975542704705,0.5812754850023157,0.8890484554475612,0.9174005384630324
